4,5,18,0,0,209.00014
4,5,18,1,0,209.32234
4,5,18,2,0,209.64373
4,5,18,3,0,209.96433
4,5,18,4,0,210.28413
4,5,18,5,0,210.60312
4,5,18,6,0,210.92130
4,5,18,7,0,211.23867
4,5,18,8,0,211.55522
4,5,18,9,0,211.87096
4,5,18,10,0,212.18588
4,5,18,11,0,212.49997
4,5,18,12,0,212.81324
4,5,18,13,0,213.12568
4,5,18,14,0,213.43730
4,5,18,15,0,213.74809
4,5,18,16,0,214.05804
4,5,18,17,0,214.36716
4,5,18,18,0,214.67544
4,5,18,19,0,214.98289
4,5,18,20,0,215.28951
4,5,18,21,0,215.59528
4,5,18,22,0,215.90021
4,5,18,23,0,216.20431
4,5,18,24,0,216.50756
4,5,18,25,0,216.80997
4,5,18,26,0,217.11154
4,5,18,27,0,217.41227
4,5,18,28,0,217.71215
4,5,18,29,0,218.01120
4,5,18,30,0,218.30940
4,5,18,31,0,218.60675
4,5,18,32,0,218.90327
4,5,18,33,0,219.19894
4,5,18,34,0,219.49377
4,5,18,35,0,219.78776
4,5,18,36,0,220.08092
4,5,18,37,0,220.37323
4,5,18,38,0,220.66470
4,5,18,39,0,220.95533
4,5,18,40,0,221.24513
4,5,18,41,0,221.53409
4,5,18,42,0,221.82222
4,5,18,43,0,222.10951
4,5,18,44,0,222.39597
4,5,18,45,0,222.68160
4,5,18,46,0,222.96640
4,5,18,47,0,223.25037
4,5,18,48,0,223.53352
4,5,18,49,0,223.81585
4,5,18,50,0,224.09735
4,5,18,51,0,224.37803
4,5,18,52,0,224.65789
4,5,18,53,0,224.93694
4,5,18,54,0,225.21517
4,5,18,55,0,225.49259
4,5,18,56,0,225.76920
4,5,18,57,0,226.04500
4,5,18,58,0,226.32000
4,5,18,59,0,226.59419
4,5,19,0,0,226.86759
4,5,19,1,0,227.14019
4,5,19,2,0,227.41199
4,5,19,3,0,227.68300
4,5,19,4,0,227.95322
4,5,19,5,0,228.22266
4,5,19,6,0,228.49131
4,5,19,7,0,228.75918
4,5,19,8,0,229.02627
4,5,19,9,0,229.29259
4,5,19,10,0,229.55813
4,5,19,11,0,229.82291
4,5,19,12,0,230.08692
4,5,19,13,0,230.35017
4,5,19,14,0,230.61266
4,5,19,15,0,230.87439
4,5,19,16,0,231.13537
4,5,19,17,0,231.39560
4,5,19,18,0,231.65509
4,5,19,19,0,231.91383
4,5,19,20,0,232.17184
4,5,19,21,0,232.42910
4,5,19,22,0,232.68564
4,5,19,23,0,232.94145
4,5,19,24,0,233.19653
4,5,19,25,0,233.45090
4,5,19,26,0,233.70454
4,5,19,27,0,233.95747
4,5,19,28,0,234.20969
4,5,19,29,0,234.46121
4,5,19,30,0,234.71202
4,5,19,31,0,234.96213
4,5,19,32,0,235.21155
4,5,19,33,0,235.46028
4,5,19,34,0,235.70831
4,5,19,35,0,235.95567
4,5,19,36,0,236.20235
4,5,19,37,0,236.44835
4,5,19,38,0,236.69368
4,5,19,39,0,236.93834
4,5,19,40,0,237.18233
4,5,19,41,0,237.42567
4,5,19,42,0,237.66835
4,5,19,43,0,237.91038
4,5,19,44,0,238.15176
4,5,19,45,0,238.39250
4,5,19,46,0,238.63260
4,5,19,47,0,238.87206
4,5,19,48,0,239.11089
4,5,19,49,0,239.34909
4,5,19,50,0,239.58667
4,5,19,51,0,239.82363
4,5,19,52,0,240.05997
4,5,19,53,0,240.29571
4,5,19,54,0,240.53083
4,5,19,55,0,240.76535
4,5,19,56,0,240.99928
4,5,19,57,0,241.23261
4,5,19,58,0,241.46535
4,5,19,59,0,241.69750
4,5,20,0,0,241.92907
4,5,20,1,0,242.16006
4,5,20,2,0,242.39048
4,5,20,3,0,242.62033
4,5,20,4,0,242.84961
4,5,20,5,0,243.07833
4,5,20,6,0,243.30649
4,5,20,7,0,243.53410
4,5,20,8,0,243.76117
4,5,20,9,0,243.98768
4,5,20,10,0,244.21366
4,5,20,11,0,244.43910
4,5,20,12,0,244.66400
4,5,20,13,0,244.88838
4,5,20,14,0,245.11224
4,5,20,15,0,245.33557
4,5,20,16,0,245.55839
4,5,20,17,0,245.78070
4,5,20,18,0,246.00250
4,5,20,19,0,246.22380
4,5,20,20,0,246.44459
4,5,20,21,0,246.66490
4,5,20,22,0,246.88471
4,5,20,23,0,247.10403
4,5,20,24,0,247.32288
4,5,20,25,0,247.54124
4,5,20,26,0,247.75913
4,5,20,27,0,247.97655
4,5,20,28,0,248.19350
4,5,20,29,0,248.40999
4,5,20,30,0,248.62602
4,5,20,31,0,248.84160
4,5,20,32,0,249.05673
4,5,20,33,0,249.27141
4,5,20,34,0,249.48565
4,5,20,35,0,249.69946
4,5,20,36,0,249.91283
4,5,20,37,0,250.12577
4,5,20,38,0,250.33828
4,5,20,39,0,250.55037
4,5,20,40,0,250.76205
4,5,20,41,0,250.97331
4,5,20,42,0,251.18416
4,5,20,43,0,251.39461
4,5,20,44,0,251.60465
4,5,20,45,0,251.81430
4,5,20,46,0,252.02355
4,5,20,47,0,252.23241
4,5,20,48,0,252.44089
4,5,20,49,0,252.64899
4,5,20,50,0,252.85671
4,5,20,51,0,253.06405
4,5,20,52,0,253.27102
4,5,20,53,0,253.47763
4,5,20,54,0,253.68388
4,5,20,55,0,253.88976
4,5,20,56,0,254.09529
4,5,20,57,0,254.30048
4,5,20,58,0,254.50531
4,5,20,59,0,254.70980
4,5,21,0,0,254.91395
4,5,21,1,0,255.11777
4,5,21,2,0,255.32126
4,5,21,3,0,255.52442
4,5,21,4,0,255.72725
4,5,21,5,0,255.92976
